epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0721,0.96139,3.68256,1.0639,0.00333,1,0.55673,0.44469,1.0008,2.77356,0.95182,2.4e-05,2.4e-05,0.076024
2,15.8275,0.96655,2.03008,0.95892,0.00685,0.9375,0.87833,0.69569,0.85442,2.60162,0.89364,4.81915e-05,4.81915e-05,0.0510482
3,19.458,0.93031,1.35962,0.92275,0.00679,1,0.95962,0.77249,0.8525,2.11335,0.86115,7.1558e-05,7.1558e-05,0.0260716
4,22.8843,0.92219,1.17154,0.90149,1,0.9085,0.995,0.79026,0.85282,1.77152,0.85187,9.40995e-05,9.40995e-05,0.0010941
5,26.5321,0.8854,1.07547,0.89426,0.9995,1,0.995,0.74224,0.91481,1.11297,0.85933,9.34e-05,9.34e-05,9.34e-05
6,30.1918,0.88919,1.03221,0.88836,0.99669,1,0.995,0.75338,0.91762,0.82465,0.86504,9.175e-05,9.175e-05,9.175e-05
7,33.7589,0.87663,0.97286,0.89637,0.9965,1,0.995,0.75658,0.88291,0.76384,0.86511,9.01e-05,9.01e-05,9.01e-05
8,37.3592,0.87299,0.92421,0.91552,0.99647,1,0.995,0.77617,0.85832,0.69954,0.86298,8.845e-05,8.845e-05,8.845e-05
9,40.9854,0.86371,0.90588,0.89649,0.9963,1,0.995,0.7735,0.84622,0.67393,0.86352,8.68e-05,8.68e-05,8.68e-05
10,44.7008,0.84232,0.87114,0.9004,0.9961,1,0.995,0.78808,0.81959,0.63619,0.859,8.515e-05,8.515e-05,8.515e-05
11,48.3716,0.85159,0.85638,0.89385,0.99612,1,0.995,0.78357,0.82231,0.61024,0.86082,8.35e-05,8.35e-05,8.35e-05
12,51.9686,0.78785,0.83068,0.89079,0.99618,1,0.995,0.77363,0.88208,0.61177,0.87415,8.185e-05,8.185e-05,8.185e-05
13,55.5043,0.79685,0.82185,0.86684,0.99628,1,0.995,0.75939,0.89182,0.60743,0.87413,8.02e-05,8.02e-05,8.02e-05
14,59.0331,0.76715,0.79922,0.88266,0.99625,1,0.995,0.7708,0.90603,0.58782,0.86522,7.855e-05,7.855e-05,7.855e-05
15,62.4081,0.76063,0.77111,0.87397,0.99616,1,0.995,0.77948,0.86989,0.5788,0.85554,7.69e-05,7.69e-05,7.69e-05
16,65.9104,0.74611,0.74642,0.88045,0.99613,1,0.995,0.79105,0.84864,0.57538,0.85167,7.525e-05,7.525e-05,7.525e-05
17,69.4623,0.7654,0.74673,0.87187,0.9961,1,0.995,0.79066,0.87103,0.57022,0.85407,7.36e-05,7.36e-05,7.36e-05
18,73.0218,0.74034,0.72459,0.84816,0.9962,1,0.995,0.77743,0.86863,0.5685,0.85249,7.195e-05,7.195e-05,7.195e-05
19,76.4702,0.71801,0.72931,0.85128,0.99626,1,0.995,0.77714,0.89415,0.56559,0.8502,7.03e-05,7.03e-05,7.03e-05
20,79.8752,0.71082,0.71784,0.8525,0.99626,1,0.995,0.76079,0.90358,0.55947,0.84922,6.865e-05,6.865e-05,6.865e-05
21,83.3304,0.69549,0.70044,0.84656,0.99623,1,0.995,0.78705,0.88666,0.5479,0.84393,6.7e-05,6.7e-05,6.7e-05
22,86.9382,0.68389,0.69187,0.8582,0.99643,1,0.995,0.77956,0.90785,0.55938,0.83952,6.535e-05,6.535e-05,6.535e-05
23,90.4948,0.7035,0.69997,0.85544,0.99629,1,0.995,0.77153,0.88832,0.55603,0.83691,6.37e-05,6.37e-05,6.37e-05
24,94.069,0.68124,0.6886,0.83759,0.99654,1,0.995,0.78954,0.86085,0.54563,0.83278,6.205e-05,6.205e-05,6.205e-05
25,97.6302,0.67085,0.69729,0.82167,0.99649,1,0.995,0.79012,0.8654,0.54765,0.83446,6.04e-05,6.04e-05,6.04e-05
26,101.159,0.63636,0.69053,0.82924,0.99658,1,0.995,0.77481,0.93024,0.54706,0.84773,5.875e-05,5.875e-05,5.875e-05
27,104.712,0.66015,0.66812,0.8377,0.99649,1,0.995,0.76922,0.939,0.55065,0.85267,5.71e-05,5.71e-05,5.71e-05
28,108.198,0.64183,0.66162,0.84422,0.99653,1,0.995,0.77291,0.87311,0.54052,0.84675,5.545e-05,5.545e-05,5.545e-05
29,111.615,0.6408,0.65601,0.84159,0.99653,1,0.995,0.78496,0.82739,0.53358,0.83935,5.38e-05,5.38e-05,5.38e-05
30,115.298,0.6232,0.66295,0.83466,0.99654,1,0.995,0.78129,0.82134,0.54248,0.83661,5.215e-05,5.215e-05,5.215e-05
31,118.937,0.65031,0.66841,0.85256,0.99667,1,0.995,0.78967,0.89923,0.56729,0.85051,5.05e-05,5.05e-05,5.05e-05
32,122.441,0.63607,0.66748,0.83024,0.99656,1,0.995,0.79015,0.90185,0.56453,0.85112,4.885e-05,4.885e-05,4.885e-05
33,126.046,0.59027,0.63767,0.82714,0.99649,1,0.995,0.79055,0.86838,0.55264,0.84349,4.72e-05,4.72e-05,4.72e-05
