epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21412.9,0.63031,0.32247,0.87868,0.98366,0.97438,0.99069,0.82575,0.72762,0.32799,0.87159,0.000492625,0.000492625,0.000492625
43,21937.7,0.61824,0.31705,0.87982,0.98024,0.98058,0.99075,0.82448,0.74424,0.32584,0.8733,0.00048025,0.00048025,0.00048025
44,22481.9,0.61685,0.31768,0.87475,0.97748,0.98382,0.98689,0.81746,0.73886,0.32017,0.8705,0.000467875,0.000467875,0.000467875
45,23028.3,0.61376,0.31352,0.87338,0.98527,0.97087,0.99224,0.82069,0.73751,0.32455,0.87718,0.0004555,0.0004555,0.0004555
46,23484.1,0.61635,0.31274,0.8736,0.97104,0.97674,0.99104,0.82467,0.7343,0.33672,0.86475,0.000443125,0.000443125,0.000443125
47,24016.7,0.59534,0.30341,0.8682,0.97343,0.98382,0.99165,0.82219,0.74035,0.31954,0.86757,0.00043075,0.00043075,0.00043075
48,24561.3,0.59938,0.30051,0.86967,0.98244,0.98706,0.99156,0.82531,0.71965,0.30663,0.86906,0.000418375,0.000418375,0.000418375
49,25107.8,0.59507,0.30089,0.86561,0.9677,0.99029,0.99083,0.82637,0.72691,0.31567,0.87051,0.000406,0.000406,0.000406
50,25557.9,0.59184,0.29937,0.87044,0.97524,0.98382,0.98975,0.82683,0.73038,0.32067,0.86906,0.000393625,0.000393625,0.000393625
51,26083.5,0.58785,0.30094,0.86729,0.97111,0.97918,0.99132,0.82293,0.74521,0.32867,0.87317,0.00038125,0.00038125,0.00038125
52,26627.2,0.58388,0.29505,0.86787,0.98063,0.98326,0.99226,0.81928,0.7553,0.31521,0.87665,0.000368875,0.000368875,0.000368875
53,27171.6,0.56847,0.28878,0.86179,0.98042,0.97244,0.9895,0.80734,0.76297,0.32567,0.87743,0.0003565,0.0003565,0.0003565
54,27620.9,0.56826,0.2894,0.86223,0.99003,0.96419,0.99163,0.82129,0.73897,0.32784,0.87359,0.000344125,0.000344125,0.000344125
55,28146.2,0.56473,0.28941,0.86137,0.96502,0.98222,0.9915,0.82384,0.74527,0.32059,0.87718,0.00033175,0.00033175,0.00033175
56,28690.2,0.56027,0.28095,0.85977,0.97733,0.97659,0.9896,0.82565,0.73876,0.3228,0.87165,0.000319375,0.000319375,0.000319375
57,29236.3,0.55866,0.28542,0.86086,0.98148,0.98058,0.99171,0.82153,0.75496,0.32121,0.87579,0.000307,0.000307,0.000307
58,29689.8,0.55704,0.28117,0.85819,0.98281,0.97411,0.99193,0.82438,0.73738,0.31236,0.8718,0.000294625,0.000294625,0.000294625
59,30221.1,0.55377,0.2788,0.85739,0.97382,0.98382,0.99119,0.82614,0.74191,0.32654,0.87609,0.00028225,0.00028225,0.00028225
60,30772.9,0.54479,0.27621,0.85782,0.9732,0.98706,0.99159,0.81476,0.75794,0.3199,0.88045,0.000269875,0.000269875,0.000269875
61,31318.9,0.54091,0.27425,0.85446,0.98357,0.96867,0.99159,0.81763,0.76398,0.322,0.8823,0.0002575,0.0002575,0.0002575
62,31772.7,0.53705,0.27185,0.85698,0.97435,0.98354,0.99116,0.82722,0.73876,0.30916,0.87709,0.000245125,0.000245125,0.000245125
63,32311.6,0.52781,0.26819,0.85397,0.9805,0.97627,0.99193,0.82356,0.74953,0.30532,0.87776,0.00023275,0.00023275,0.00023275
64,32874.8,0.52319,0.2625,0.85307,0.9837,0.97634,0.9916,0.83148,0.73967,0.30918,0.87228,0.000220375,0.000220375,0.000220375
65,34708.5,0.52338,0.26725,0.84923,0.97396,0.98706,0.99095,0.82409,0.75627,0.30722,0.87685,0.000208,0.000208,0.000208
66,35540.9,0.52001,0.26108,0.85335,0.97451,0.98983,0.99115,0.82833,0.7498,0.30808,0.87954,0.000195625,0.000195625,0.000195625
67,36127.6,0.51169,0.25814,0.85054,0.98313,0.98382,0.99115,0.82364,0.75334,0.30219,0.88066,0.00018325,0.00018325,0.00018325
68,36709.6,0.5098,0.25651,0.85006,0.98335,0.98058,0.9908,0.82123,0.76201,0.30979,0.88281,0.000170875,0.000170875,0.000170875
69,37294.3,0.50842,0.25396,0.8449,0.98697,0.98058,0.99173,0.83006,0.7457,0.3078,0.87983,0.0001585,0.0001585,0.0001585
70,37739.6,0.50184,0.24958,0.84823,0.98702,0.98467,0.99187,0.83113,0.74875,0.30707,0.87982,0.000146125,0.000146125,0.000146125
71,38319.9,0.46904,0.22802,0.82481,0.97397,0.99029,0.99203,0.83278,0.74992,0.30442,0.88076,0.00013375,0.00013375,0.00013375
72,39905.6,0.46392,0.22658,0.82465,0.98222,0.98058,0.9922,0.82929,0.75284,0.3026,0.88077,0.000121375,0.000121375,0.000121375
73,40487,0.46224,0.22304,0.82723,0.97093,0.99029,0.99175,0.82921,0.76369,0.30199,0.88395,0.000109,0.000109,0.000109
74,40929.3,0.45667,0.22105,0.82341,0.97081,0.99029,0.99116,0.82983,0.75464,0.30444,0.88234,9.6625e-05,9.6625e-05,9.6625e-05
75,41520.7,0.45433,0.21872,0.82036,0.97143,0.99023,0.99138,0.8289,0.76162,0.30425,0.88535,8.425e-05,8.425e-05,8.425e-05
76,42109.2,0.45032,0.21648,0.82052,0.98361,0.98058,0.99161,0.83279,0.75483,0.299,0.88553,7.1875e-05,7.1875e-05,7.1875e-05
77,42685.8,0.44198,0.2128,0.81943,0.98441,0.98058,0.99168,0.8321,0.75411,0.30098,0.88508,5.95e-05,5.95e-05,5.95e-05
78,43117.6,0.44175,0.21144,0.81586,0.97352,0.99029,0.99159,0.83181,0.75779,0.30333,0.88538,4.7125e-05,4.7125e-05,4.7125e-05
79,43697.1,0.44149,0.21162,0.82027,0.98507,0.98058,0.99186,0.82837,0.75953,0.30029,0.88591,3.475e-05,3.475e-05,3.475e-05
80,44272.7,0.4362,0.20864,0.81382,0.98809,0.98058,0.99195,0.82997,0.75891,0.30006,0.88632,2.2375e-05,2.2375e-05,2.2375e-05
