epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0856,0.9612,3.68305,1.064,0.00333,1,0.54891,0.43077,0.9846,2.75268,0.93774,2.4e-05,2.4e-05,0.076024
2,15.8272,0.96778,2.03403,0.96021,0.00684,0.9375,0.91436,0.73937,0.85336,2.56827,0.88997,4.81915e-05,4.81915e-05,0.0510482
3,19.3002,0.9265,1.36877,0.92152,0.00704,1,0.98553,0.78387,0.84686,2.09302,0.85616,7.1558e-05,7.1558e-05,0.0260716
4,22.7028,0.92085,1.18455,0.90203,1,0.90136,0.995,0.78362,0.85,1.77384,0.85589,9.40995e-05,9.40995e-05,0.0010941
5,26.0487,0.89802,1.07318,0.89587,0.99754,1,0.995,0.75248,0.89464,1.13639,0.85973,9.34e-05,9.34e-05,9.34e-05
6,29.441,0.88918,1.02889,0.89033,0.99681,1,0.995,0.75613,0.91374,0.84082,0.86545,9.175e-05,9.175e-05,9.175e-05
7,32.8214,0.87646,0.97955,0.8963,0.99679,1,0.995,0.75671,0.89942,0.7796,0.8652,9.01e-05,9.01e-05,9.01e-05
8,36.237,0.87004,0.93031,0.91344,0.99659,1,0.995,0.76722,0.88125,0.70441,0.86844,8.845e-05,8.845e-05,8.845e-05
9,39.7243,0.8612,0.90211,0.89683,0.99643,1,0.995,0.77871,0.86634,0.69195,0.86713,8.68e-05,8.68e-05,8.68e-05
10,43.1789,0.84887,0.86949,0.89932,0.99616,1,0.995,0.78847,0.84884,0.64961,0.86509,8.515e-05,8.515e-05,8.515e-05
11,46.5697,0.84876,0.85124,0.89094,0.99612,1,0.995,0.78746,0.84072,0.63174,0.86464,8.35e-05,8.35e-05,8.35e-05
12,50.0604,0.79376,0.8286,0.88867,0.99637,1,0.995,0.76399,0.88695,0.62719,0.87094,8.185e-05,8.185e-05,8.185e-05
13,53.4564,0.79037,0.80664,0.8642,0.9963,1,0.995,0.7608,0.88843,0.6272,0.87219,8.02e-05,8.02e-05,8.02e-05
14,56.8735,0.78977,0.78858,0.88593,0.99629,1,0.995,0.75206,0.88254,0.61765,0.86703,7.855e-05,7.855e-05,7.855e-05
15,60.3055,0.77029,0.76577,0.8759,0.99634,1,0.995,0.75555,0.8644,0.59329,0.86516,7.69e-05,7.69e-05,7.69e-05
16,63.6354,0.77208,0.75382,0.88492,0.9963,1,0.995,0.75763,0.8537,0.59264,0.86124,7.525e-05,7.525e-05,7.525e-05
17,67.2101,0.78765,0.75198,0.87448,0.9964,1,0.995,0.78376,0.87369,0.57391,0.85843,7.36e-05,7.36e-05,7.36e-05
18,70.6561,0.73931,0.7206,0.84787,0.99638,1,0.995,0.78787,0.88688,0.57667,0.85723,7.195e-05,7.195e-05,7.195e-05
19,74.0966,0.7217,0.73079,0.85291,0.99634,1,0.995,0.77884,0.89345,0.56483,0.85412,7.03e-05,7.03e-05,7.03e-05
20,77.4634,0.68798,0.72017,0.85145,0.99625,1,0.995,0.79378,0.89158,0.55979,0.84885,6.865e-05,6.865e-05,6.865e-05
21,80.8856,0.707,0.71647,0.85028,0.99624,1,0.995,0.79168,0.87189,0.55185,0.84518,6.7e-05,6.7e-05,6.7e-05
22,84.313,0.68103,0.69825,0.85864,0.99637,1,0.995,0.76326,0.90619,0.54463,0.85338,6.535e-05,6.535e-05,6.535e-05
23,87.6876,0.71282,0.69808,0.85669,0.9964,1,0.995,0.7675,0.90424,0.54426,0.85148,6.37e-05,6.37e-05,6.37e-05
24,91.0991,0.67786,0.69172,0.83893,0.99643,1,0.995,0.80947,0.85744,0.5422,0.83529,6.205e-05,6.205e-05,6.205e-05
25,94.6088,0.6775,0.69642,0.82143,0.99645,1,0.995,0.8026,0.83288,0.53504,0.83151,6.04e-05,6.04e-05,6.04e-05
26,98.0237,0.65197,0.68932,0.8314,0.99649,1,0.995,0.78675,0.85682,0.53491,0.83806,5.875e-05,5.875e-05,5.875e-05
27,101.432,0.67642,0.67699,0.84236,0.99647,1,0.995,0.77825,0.87708,0.53086,0.84567,5.71e-05,5.71e-05,5.71e-05
28,104.824,0.65361,0.66299,0.85026,0.99651,1,0.995,0.7874,0.85952,0.53232,0.84345,5.545e-05,5.545e-05,5.545e-05
29,108.182,0.63367,0.64716,0.84009,0.99647,1,0.995,0.78819,0.82448,0.52953,0.83527,5.38e-05,5.38e-05,5.38e-05
30,111.599,0.63151,0.65016,0.83485,0.99644,1,0.995,0.7896,0.83609,0.52781,0.83071,5.215e-05,5.215e-05,5.215e-05
31,115.035,0.6562,0.66132,0.8505,0.99645,1,0.995,0.78735,0.86962,0.53493,0.83605,5.05e-05,5.05e-05,5.05e-05
32,118.418,0.63055,0.6617,0.82994,0.99651,1,0.995,0.78735,0.86973,0.53371,0.83855,4.885e-05,4.885e-05,4.885e-05
33,121.853,0.58548,0.63835,0.82872,0.99651,1,0.995,0.76975,0.86276,0.52247,0.84684,4.72e-05,4.72e-05,4.72e-05
34,125.199,0.62687,0.65135,0.82684,0.99658,1,0.995,0.77724,0.84914,0.51473,0.84323,4.555e-05,4.555e-05,4.555e-05
35,128.629,0.56189,0.62429,0.82216,0.99664,1,0.995,0.79061,0.83624,0.51422,0.83468,4.39e-05,4.39e-05,4.39e-05
36,131.98,0.58397,0.64155,0.82817,0.99661,1,0.995,0.77958,0.84657,0.51649,0.83569,4.225e-05,4.225e-05,4.225e-05
37,135.473,0.56702,0.62377,0.82915,0.99655,1,0.995,0.76727,0.90753,0.5204,0.84642,4.06e-05,4.06e-05,4.06e-05
38,138.823,0.56541,0.6356,0.8203,0.99656,1,0.995,0.76555,0.92013,0.51673,0.85079,3.895e-05,3.895e-05,3.895e-05
39,142.165,0.54315,0.60685,0.81479,0.99656,1,0.995,0.76526,0.89505,0.51235,0.8462,3.73e-05,3.73e-05,3.73e-05
40,145.534,0.56832,0.61128,0.82444,0.99661,1,0.995,0.7752,0.8743,0.51185,0.84115,3.565e-05,3.565e-05,3.565e-05
41,148.882,0.54882,0.6134,0.82898,0.99661,1,0.995,0.7649,0.88019,0.51191,0.84038,3.4e-05,3.4e-05,3.4e-05
42,152.279,0.52799,0.61246,0.80099,0.99666,1,0.995,0.75397,0.91618,0.51777,0.8435,3.235e-05,3.235e-05,3.235e-05
43,155.674,0.53447,0.60605,0.81463,0.99667,1,0.995,0.75661,0.94218,0.5181,0.84909,3.07e-05,3.07e-05,3.07e-05
44,159.052,0.54158,0.61082,0.83482,0.99662,1,0.995,0.76504,0.9317,0.51182,0.84775,2.905e-05,2.905e-05,2.905e-05
