epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5271,1.00464,2.53458,0.97948,0.00724,0.9375,0.74755,0.51109,0.92943,3.04167,0.94315,2.4e-05,2.4e-05,0.076024
2,56.0025,0.95621,1.31273,0.96644,0.00726,1,0.995,0.75713,0.86935,2.48976,0.8518,4.81915e-05,4.81915e-05,0.0510482
3,83.4564,0.87643,1.04955,0.9601,0.00705,1,0.995,0.75638,0.82441,2.08918,0.85257,7.1558e-05,7.1558e-05,0.0260716
4,110.81,0.90953,0.94101,0.9464,1,0.90671,0.995,0.76861,0.81789,1.76552,0.85275,9.40995e-05,9.40995e-05,0.0010941
5,138.488,0.87467,0.90377,0.95001,0.98644,1,0.995,0.7376,0.87366,1.09828,0.90034,9.34e-05,9.34e-05,9.34e-05
6,165.962,0.90078,0.84443,0.95939,0.99368,1,0.995,0.734,0.88065,0.81573,0.91935,9.175e-05,9.175e-05,9.175e-05
7,193.271,0.85523,0.82649,0.92656,0.99453,1,0.995,0.7521,0.84822,0.76437,0.91284,9.01e-05,9.01e-05,9.01e-05
8,223.242,0.8686,0.80181,0.92345,0.99555,1,0.995,0.76891,0.8244,0.72866,0.89956,8.845e-05,8.845e-05,8.845e-05
9,252.974,0.85323,0.77545,0.93016,0.99576,1,0.995,0.76885,0.82313,0.71026,0.89772,8.68e-05,8.68e-05,8.68e-05
10,281.068,0.83093,0.75222,0.91121,0.99595,1,0.995,0.76815,0.83792,0.69405,0.90052,8.515e-05,8.515e-05,8.515e-05
11,308.868,0.80821,0.744,0.90978,0.99621,1,0.995,0.76247,0.85105,0.69015,0.90417,8.35e-05,8.35e-05,8.35e-05
12,339.582,0.79776,0.74101,0.89857,0.99649,1,0.995,0.76251,0.87866,0.69541,0.91414,8.185e-05,8.185e-05,8.185e-05
13,369.222,0.79598,0.71921,0.90131,0.99639,1,0.995,0.78716,0.86397,0.6875,0.90687,8.02e-05,8.02e-05,8.02e-05
14,398.873,0.78191,0.71434,0.89202,0.9964,1,0.995,0.7979,0.83413,0.66744,0.89102,7.855e-05,7.855e-05,7.855e-05
15,427.366,0.75968,0.69606,0.88276,0.99636,1,0.995,0.8025,0.79168,0.64163,0.87398,7.69e-05,7.69e-05,7.69e-05
16,455.406,0.76453,0.70949,0.90167,0.99632,1,0.995,0.77538,0.80042,0.6393,0.8781,7.525e-05,7.525e-05,7.525e-05
17,484.126,0.78501,0.70088,0.89598,0.99618,1,0.995,0.73254,0.88393,0.65123,0.89543,7.36e-05,7.36e-05,7.36e-05
18,512.896,0.71759,0.67403,0.87259,0.9963,1,0.995,0.73086,0.88993,0.65091,0.89358,7.195e-05,7.195e-05,7.195e-05
19,542.095,0.7232,0.66713,0.87843,0.99639,1,0.995,0.77239,0.88109,0.64713,0.88251,7.03e-05,7.03e-05,7.03e-05
20,570.337,0.70944,0.64764,0.84989,0.9965,1,0.995,0.77025,0.8995,0.65102,0.88682,6.865e-05,6.865e-05,6.865e-05
21,600.445,0.66554,0.63884,0.85183,0.99644,1,0.995,0.77286,0.92382,0.65043,0.8971,6.7e-05,6.7e-05,6.7e-05
22,630.703,0.65849,0.62485,0.85189,0.99646,1,0.995,0.76588,0.92147,0.63235,0.89702,6.535e-05,6.535e-05,6.535e-05
23,661.177,0.64658,0.61844,0.84311,0.99637,1,0.995,0.77065,0.89132,0.61592,0.88809,6.37e-05,6.37e-05,6.37e-05
24,688.903,0.63857,0.6099,0.86402,0.99637,1,0.995,0.78531,0.83386,0.60111,0.87547,6.205e-05,6.205e-05,6.205e-05
25,716.326,0.6586,0.62815,0.86107,0.99639,1,0.995,0.77855,0.83896,0.60696,0.88042,6.04e-05,6.04e-05,6.04e-05
26,743.602,0.62603,0.6149,0.85856,0.99602,1,0.995,0.76451,0.88334,0.62416,0.89274,5.875e-05,5.875e-05,5.875e-05
27,771.082,0.64498,0.60831,0.83837,0.99628,1,0.995,0.77599,0.87729,0.62164,0.88681,5.71e-05,5.71e-05,5.71e-05
28,798.464,0.62241,0.59315,0.84233,0.99626,1,0.995,0.76756,0.82884,0.59853,0.86312,5.545e-05,5.545e-05,5.545e-05
29,825.694,0.59444,0.57625,0.83348,0.99624,1,0.995,0.75534,0.83435,0.59879,0.8607,5.38e-05,5.38e-05,5.38e-05
30,853.054,0.6261,0.59391,0.84325,0.99631,1,0.995,0.76868,0.88652,0.61042,0.87321,5.215e-05,5.215e-05,5.215e-05
31,880.328,0.609,0.59327,0.82968,0.99637,1,0.995,0.77428,0.87018,0.61066,0.86893,5.05e-05,5.05e-05,5.05e-05
32,908.148,0.6028,0.57508,0.85408,0.9963,1,0.995,0.77713,0.84779,0.60023,0.86326,4.885e-05,4.885e-05,4.885e-05
33,935.844,0.58382,0.56892,0.8438,0.99617,1,0.995,0.7842,0.7957,0.57436,0.85533,4.72e-05,4.72e-05,4.72e-05
34,963.634,0.57203,0.55706,0.8213,0.99621,1,0.995,0.78822,0.79737,0.57732,0.85712,4.555e-05,4.555e-05,4.555e-05
35,992.407,0.53707,0.56589,0.84261,0.99623,1,0.995,0.80502,0.81722,0.5756,0.86174,4.39e-05,4.39e-05,4.39e-05
36,1020.44,0.55723,0.56157,0.82849,0.99626,1,0.995,0.78143,0.82735,0.58164,0.86558,4.225e-05,4.225e-05,4.225e-05
37,1048.1,0.53568,0.56536,0.82405,0.99633,1,0.995,0.78226,0.8233,0.57534,0.86962,4.06e-05,4.06e-05,4.06e-05
38,1076.01,0.57146,0.56388,0.82306,0.99663,1,0.995,0.80253,0.80755,0.57426,0.86295,3.895e-05,3.895e-05,3.895e-05
39,1103.63,0.54642,0.56001,0.82162,0.99665,1,0.995,0.80417,0.80634,0.5677,0.8631,3.73e-05,3.73e-05,3.73e-05
40,1131.24,0.52933,0.54778,0.82202,0.99656,1,0.995,0.79401,0.81821,0.56958,0.86887,3.565e-05,3.565e-05,3.565e-05
41,1159.08,0.50329,0.53908,0.81887,0.99653,1,0.995,0.78191,0.83063,0.57379,0.87169,3.4e-05,3.4e-05,3.4e-05
42,1187.75,0.49603,0.53287,0.82222,0.99645,1,0.995,0.77882,0.84936,0.57021,0.87758,3.235e-05,3.235e-05,3.235e-05
43,1215.81,0.51273,0.54658,0.81748,0.9964,1,0.995,0.7714,0.85065,0.56444,0.87619,3.07e-05,3.07e-05,3.07e-05
44,1243.81,0.51799,0.54154,0.81357,0.99636,1,0.995,0.7913,0.8467,0.55593,0.86933,2.905e-05,2.905e-05,2.905e-05
45,1272.01,0.49796,0.53588,0.80536,0.99639,1,0.995,0.78892,0.83698,0.54735,0.86433,2.74e-05,2.74e-05,2.74e-05
46,1300.17,0.47595,0.52873,0.79405,0.99636,1,0.995,0.80314,0.80806,0.54629,0.85596,2.575e-05,2.575e-05,2.575e-05
47,1331.61,0.48935,0.53646,0.82412,0.99633,1,0.995,0.80537,0.79849,0.54619,0.8556,2.41e-05,2.41e-05,2.41e-05
48,1360.87,0.47888,0.53043,0.82878,0.99636,1,0.995,0.80431,0.79983,0.54851,0.85787,2.245e-05,2.245e-05,2.245e-05
49,1389.24,0.45682,0.52209,0.81849,0.99635,1,0.995,0.7954,0.80552,0.54772,0.86274,2.08e-05,2.08e-05,2.08e-05
50,1417.27,0.47436,0.52477,0.82113,0.99637,1,0.995,0.80307,0.80833,0.54655,0.86388,1.915e-05,1.915e-05,1.915e-05
51,1445.23,0.44929,0.52328,0.8086,0.99633,1,0.995,0.79664,0.81365,0.54806,0.8651,1.75e-05,1.75e-05,1.75e-05
52,1473.09,0.47353,0.51857,0.81835,0.99634,1,0.995,0.79658,0.82255,0.54846,0.86705,1.585e-05,1.585e-05,1.585e-05
53,1501.06,0.44409,0.50837,0.80073,0.9963,1,0.995,0.79374,0.8315,0.55525,0.8667,1.42e-05,1.42e-05,1.42e-05
54,1528.79,0.46763,0.52881,0.79874,0.99626,1,0.995,0.79656,0.82931,0.55302,0.86447,1.255e-05,1.255e-05,1.255e-05
55,1556.82,0.44663,0.50353,0.81239,0.99627,1,0.995,0.79921,0.82786,0.55394,0.86414,1.09e-05,1.09e-05,1.09e-05
56,1584.98,0.44576,0.50468,0.80757,0.99619,1,0.995,0.79832,0.82383,0.55477,0.86278,9.25e-06,9.25e-06,9.25e-06
57,1612.89,0.44827,0.51279,0.80166,0.99628,1,0.995,0.79923,0.81621,0.55512,0.86128,7.6e-06,7.6e-06,7.6e-06
58,1640.74,0.44196,0.51135,0.79087,0.99625,1,0.995,0.79745,0.81377,0.55676,0.86189,5.95e-06,5.95e-06,5.95e-06
59,1669.04,0.43206,0.51074,0.8106,0.99619,1,0.995,0.80892,0.8106,0.55539,0.86178,4.3e-06,4.3e-06,4.3e-06
60,1740.62,0.45475,0.52056,0.81955,0.99622,1,0.995,0.80743,0.80835,0.55579,0.86089,2.65e-06,2.65e-06,2.65e-06
