epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3696.42,1.40543,1.02853,1.12304,0.3738,0.46137,0.40498,0.2766,1.12967,15.3438,1.08523,0.000333187,0.000333187,0.0670145
2,17301.8,1.05242,0.66093,0.96474,0.8195,0.42002,0.43581,0.32192,0.87556,23.5692,0.96391,0.000653324,0.000653324,0.0340013
3,20761.8,0.91874,0.56775,0.92031,0.60002,0.43871,0.42378,0.33422,0.75846,27.638,0.92387,0.00096026,0.00096026,0.00097486
4,24406.6,0.84134,0.52228,0.89765,0.79369,0.43038,0.45637,0.35503,0.70383,26.5174,0.9059,0.0009406,0.0009406,0.0009406
