epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,16848.6,1.10935,0.61363,1.02737,0.85214,0.7911,0.84937,0.61102,1.05344,0.56433,1.00028,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,17362.7,1.10292,0.60785,1.02645,0.79999,0.81687,0.84905,0.60479,1.05163,0.56086,0.99983,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,17869.9,1.10095,0.60449,1.02455,0.83082,0.80493,0.84609,0.59805,1.04958,0.56203,0.99947,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,18364.7,1.094,0.5979,1.02173,0.81475,0.81927,0.83892,0.59481,1.04796,0.561,0.99816,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,18875.7,1.08803,0.59506,1.01839,0.80461,0.80453,0.83844,0.60113,1.04602,0.56001,0.99758,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,19399.7,1.07939,0.59026,1.01651,0.80838,0.8171,0.84034,0.60618,1.04487,0.56152,0.99731,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,19924.3,1.07834,0.58689,1.0154,0.83382,0.80605,0.84796,0.60473,1.04425,0.56005,0.9974,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,20445.4,1.07434,0.58105,1.01276,0.82155,0.80225,0.8432,0.60044,1.043,0.56094,0.997,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,20964.5,1.06695,0.5769,1.00951,0.82304,0.79594,0.84196,0.59952,1.04158,0.56154,0.99639,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,21488.6,1.06763,0.57508,1.01011,0.81542,0.7984,0.84139,0.60104,1.04101,0.56022,0.99598,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,22022.7,1.0612,0.57081,1.00853,0.82135,0.80034,0.84277,0.6033,1.03978,0.55894,0.99526,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,22548.6,1.06463,0.5379,1.00724,0.8181,0.81491,0.84428,0.60704,1.03922,0.55923,0.99534,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,23058.6,1.05386,0.53017,1.00399,0.81745,0.81698,0.84789,0.61184,1.03826,0.55856,0.99543,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,23570.6,1.04957,0.52499,1.00333,0.81688,0.82853,0.85291,0.62012,1.03747,0.55904,0.99549,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,24078,1.04707,0.5235,1.00092,0.81775,0.83056,0.85286,0.61989,1.03699,0.55965,0.99545,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,24605.6,1.04136,0.51874,0.99743,0.81313,0.82882,0.85325,0.61981,1.03657,0.56021,0.99527,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,25123.3,1.04053,0.51723,0.99811,0.81681,0.81624,0.85346,0.61971,1.03633,0.56072,0.99524,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,25632.1,1.03607,0.51445,0.99574,0.81962,0.8151,0.8533,0.61974,1.03602,0.56079,0.99514,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,26135,1.03489,0.51306,0.99638,0.81813,0.81719,0.85303,0.62003,1.03593,0.56075,0.99509,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,26645.9,1.03295,0.51244,0.99425,0.81522,0.81993,0.8526,0.62027,1.03562,0.56106,0.99499,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,27168,1.03129,0.51097,0.99447,0.82263,0.80619,0.8511,0.62,1.03551,0.56132,0.99502,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
